generic_name,openfda.brand_name,company_name,status,shortage_reason,therapeutic_category,dosage_form,initial_posting_date,update_date
Lisdexamfetamine Dimesylate Capsule,['LISDEXAMFETAMINE DIMESYLATE'],Amneal Pharmaceuticals,Current,,['Psychiatry'],Capsule,07/14/2023,06/17/2026
"Lisdexamfetamine Dimesylate Tablet, Chewable",['LISDEXAMFETAMINE DIMESYLATE'],"Sun Pharmaceutical Industries, Inc.",Current,,['Psychiatry'],"Tablet, Chewable",07/14/2023,09/18/2026
Itraconazole Capsule,['ITRACONAZOLE'],Janssen Pharmaceuticals,To Be Discontinued,,"['Anti-Infective', 'Other']",Capsule,02/27/2026,02/27/2026
Dexmedetomidine Hydrochloride Injection,['PRECEDEX'],Pfizer Inc.,Current,,['Anesthesia'],Injection,04/10/2020,09/21/2026
Bupivacaine Hydrochloride Injection,['SENSORCAINE MPF'],"Fresenius Kabi USA, LLC",Current,,['Anesthesia'],Injection,02/20/2018,09/15/2026
Midazolam Hydrochloride Injection,['MIDAZOLAM'],"Hikma Pharmaceuticals USA, Inc.",Current,,"['Anesthesia', 'Neurology']",Injection,04/02/2020,09/18/2026
Lisdexamfetamine Dimesylate Capsule,['VYVANSE'],Takeda Pharmaceuticals USA Inc.,Current,,['Psychiatry'],Capsule,07/14/2023,09/15/2026
"Lisdexamfetamine Dimesylate Tablet, Chewable",['LISDEXAMFETAMINE DIMESYLATE'],"Sun Pharmaceutical Industries, Inc.",Current,,['Psychiatry'],"Tablet, Chewable",07/14/2023,09/18/2026
Lasmiditan Succinate Tablet,['REYVOW'],Eli Lilly and Co.,To Be Discontinued,,['Neurology'],Tablet,11/03/2025,11/03/2025
Dextrose Monohydrate 5% Injection,['DEXTROSE'],Otsuka ICU Medical LLC,Current,,"['Endocrinology/Metabolism', 'Gastroenterology', 'Other', 'Pediatric']",Injection,02/14/2022,09/16/2026
Albuterol Sulfate Solution,['ALBUTEROL SULFATE'],Nephron Pharmaceuticals Corporation,Resolved,,"['Pulmonary/Allergy', 'Pediatric']",Solution,10/25/2022,08/27/2026
Morphine Sulfate Injection,['DURAMORPH'],"Hikma Pharmaceuticals USA, Inc.",Current,,['Analgesia/Addiction'],Injection,11/03/2017,09/18/2026
Ampicillin Sodium Injection,['AMPICILLIN'],Sandoz Inc.,To Be Discontinued,,['Anti-Infective'],Injection,12/08/2025,12/08/2025
Midazolam Hydrochloride Injection,['MIDAZOLAM'],"Hospira, Inc., a Pfizer Company",Current,Demand increase for the drug,"['Anesthesia', 'Neurology']",Injection,04/02/2020,09/22/2026
Lisdexamfetamine Dimesylate Capsule,,SpecGx LLC,Current,,['Psychiatry'],Capsule,07/14/2023,08/20/2026
Fentanyl Citrate Injection,,"Hikma Pharmaceuticals USA, Inc.",Current,Other,"['Analgesia/Addiction', 'Pediatric']",Injection,12/20/2023,09/18/2026
Clindamycin Phosphate Injection,['CLEOCIN PHOSPHATE'],Pfizer Inc.,To Be Discontinued,,['Anti-Infective'],Injection,06/01/2026,06/01/2026
Rocuronium Bromide Injection,['ROCURONIUM BROMIDE'],Sagent Pharmaceuticals,Current,,['Anesthesia'],Injection,02/15/2023,09/18/2026
Lorazepam Injection,['LORAZEPAM'],"Hospira, Inc., a Pfizer Company",Current,Demand increase for the drug,['Neurology'],Injection,05/03/2018,09/22/2026
"Methylphenidate Hydrochloride Tablet, Extended Release",['METHYLPHENIDATE HYDROCHLORIDE'],"Trigen Laboratories, LLC",Current,Demand increase for the drug,['Psychiatry'],Tablet,07/26/2023,09/16/2026
Lidocaine Hydrochloride Injection,['LIDOCAINE HYDROCHLORIDE'],Eugia US LLC,Current,Demand increase for the drug,['Anesthesia'],Injection,06/13/2018,09/17/2026
Dopamine Hydrochloride Injection,['DOPAMINE HYDROCHLORIDE IN DEXTROSE'],"Hospira, Inc., a Pfizer Company",Current,Other,['Cardiovascular'],Injection,11/06/2017,09/22/2026
"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",['DIANEAL PD-2 WITH DEXTROSE'],Vantive US Healthcare LLC,To Be Discontinued,,['Renal'],Solution,08/03/2026,08/03/2026
Omeprazole Delayed Release Capsule,['OMEPRAZOLE'],Sandoz Inc.,To Be Discontinued,,['Gastroenterology'],,10/09/2025,10/09/2025
"Mesalamine Capsule, Extended Release",['PENTASA'],Takeda Pharmaceuticals USA Inc.,To Be Discontinued,,['Gastroenterology'],"Capsule, Extended Release",09/16/2026,09/16/2026
"Methylphenidate Hydrochloride Tablet, Extended Release",['RELEXXII'],"Vertical Pharmaceuticals, LLC",Current,,['Psychiatry'],Tablet,07/26/2023,09/16/2026
Lidocaine Hydrochloride Injection,['XYLOCAINE MPF'],"Fresenius Kabi USA, LLC",Current,,"['Anesthesia', 'Pediatric']",Injection,02/22/2012,09/15/2026
Elbasvir; Grazoprevir Tablet,['ZEPATIER'],Merck Sharp & Dohme LLC,To Be Discontinued,,['Antiviral'],Tablet,10/17/2025,10/17/2025
"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",['DIANEAL LOW CALCIUM WITH DEXTROSE'],Vantive US Healthcare LLC,To Be Discontinued,,['Renal'],Solution,08/03/2026,08/03/2026
Penicillin G Benzathine Injection,['BICILLIN L-A'],Pfizer Inc.,Current,Other,['Anti-Infective'],Injection,04/26/2023,09/21/2026
Methotrexate Sodium Injection,['METHOTREXATE'],Accord Healthcare Inc.,Current,Other,"['Rheumatology', 'Oncology']",Injection,03/13/2023,09/15/2026
"Methylphenidate Hydrochloride Tablet, Extended Release",['RELEXXII'],"Vertical Pharmaceuticals, LLC",Current,,['Psychiatry'],Tablet,07/26/2023,09/16/2026
Lisdexamfetamine Dimesylate Capsule,['LISDEXAMFETAMINE DIMESYLATE'],Rhodes Pharmaceuticals L.P.,Current,Shortage of an active ingredient,['Psychiatry'],Capsule,07/14/2023,06/24/2026
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",['XYLOCAINE MPF'],"Fresenius Kabi USA, LLC",Current,,"['Anesthesia', 'Pediatric']",Injection,10/14/2016,09/15/2026
Clindamycin Phosphate Injection,['CLINDAMYCIN'],Sagent Pharmaceuticals,Current,Discontinuation of the manufacture of the drug,['Anti-Infective'],Injection,03/21/2023,09/18/2026
Promethazine Hydrochloride Injection,['PHENERGAN'],"Hikma Pharmaceuticals USA, Inc.",Current,,"['Analgesia/Addiction', 'Gastroenterology', 'Pediatric', 'Pulmonary/Allergy']",Injection,11/21/2023,09/18/2026
Atropine Sulfate Injection,['ATROPINE SULFATE'],"Amphastar Pharmaceuticals, Inc.",Current,,"['Anesthesia', 'Neurology', 'Pediatric']",Injection,01/01/2020,09/16/2026
Omeprazole Delayed Release Capsule,['OMEPRAZOLE'],Sandoz Inc.,To Be Discontinued,,['Gastroenterology'],,10/09/2025,10/09/2025
Meperidine Hydrochloride Injection,['MEPERIDINE HYDROCHLORIDE'],"Hikma Pharmaceuticals USA, Inc.",Current,,['Analgesia/Addiction'],Injection,05/30/2025,09/18/2026
